countriesAndTerritories,popData2018,countryterritoryCode,continentExp
Afghanistan,37172386,AFG,Asia
Albania,2866376,ALB,Europe
Algeria,42228429,DZA,Africa
Andorra,77006,AND,Europe
Angola,30809762,AGO,Africa
Anguilla,,,America
Antigua_and_Barbuda,96286,ATG,America
Argentina,44494502,ARG,America
Armenia,2951776,ARM,Europe
Aruba,105845,ABW,America
Australia,24992369,AUS,Oceania
Austria,8847037,AUT,Europe
Azerbaijan,9942334,AZE,Europe
Bahamas,385640,BHS,America
Bahrain,1569439,BHR,Asia
Bangladesh,161356039,BGD,Asia
Barbados,286641,BRB,America
Belarus,9485386,BLR,Europe
Belgium,11422068,BEL,Europe
Belize,383071,BLZ,America
Benin,11485048,BEN,Africa
Bermuda,63968,BMU,America
Bhutan,754394,BTN,Asia
Bolivia,11353142,BOL,America
Bonaire_Saint Eustatius and Saba,,,America
Bosnia_and_Herzegovina,3323929,BIH,Europe
Botswana,2254126,BWA,Africa
Brazil,209469333,BRA,America
British_Virgin_Islands,29802,VGB,America
Brunei_Darussalam,428962,BRN,Asia
Bulgaria,7024216,BGR,Europe
Burkina_Faso,19751535,BFA,Africa
Burundi,11175378,BDI,Africa
Cambodia,16249798,KHM,Asia
Cameroon,25216237,CMR,Africa
Canada,37058856,CAN,America
Cape_Verde,543767,CPV,Africa
Cases_on_an_international_conveyance_Japan,3000,N/A,Other
Cayman_Islands,64174,CYM,America
Central_African_Republic,4666377,CAF,Africa
Chad,15477751,TCD,Africa
Chile,18729160,CHL,America
China,1392730000,CHN,Asia
Colombia,49648685,COL,America
Comoros,832322,COM,Africa
Congo,5244363,COG,Africa
Costa_Rica,4999441,CRI,America
Cote_dIvoire,25069229,CIV,Africa
Croatia,4089400,HRV,Europe
Cuba,11338138,CUB,America
Curaçao,159849,CUW,America
Cyprus,1189265,CYP,Europe
Czechia,10625695,CZE,Europe
Democratic_Republic_of_the_Congo,84068091,COD,Africa
Denmark,5797446,DNK,Europe
Djibouti,958920,DJI,Africa
Dominica,71625,DMA,America
Dominican_Republic,10627165,DOM,America
Ecuador,17084357,ECU,America
Egypt,98423595,EGY,Africa
El_Salvador,6420744,SLV,America
Equatorial_Guinea,1308974,GNQ,Africa
Eritrea,,ERI,Africa
Estonia,1320884,EST,Europe
Eswatini,1367000,SWZ,Africa
Ethiopia,109224559,ETH,Africa
Falkland_Islands_(Malvinas),,,America
Faroe_Islands,48497,FRO,Europe
Fiji,883483,FJI,Oceania
Finland,5518050,FIN,Europe
France,66987244,FRA,Europe
French_Polynesia,277679,PYF,Oceania
Gabon,2119275,GAB,Africa
Gambia,2280102,GMB,Africa
Georgia,3731000,GEO,Europe
Germany,82927922,DEU,Europe
Ghana,29767108,GHA,Africa
Gibraltar,33718,GIB,Europe
Greece,10727668,GRC,Europe
Greenland,56025,GRL,America
Grenada,111454,GRD,America
Guam,165768,GUM,Oceania
Guatemala,17247807,GTM,America
Guernsey,63026,GGY,Europe
Guinea,12414318,GIN,Africa
Guinea_Bissau,1874309,GNB,Africa
Guyana,779004,GUY,America
Haiti,11123176,HTI,America
Holy_See,1000,VAT,Europe
Honduras,9587522,HND,America
Hungary,9768785,HUN,Europe
Iceland,353574,ISL,Europe
India,1352617328,IND,Asia
Indonesia,267663435,IDN,Asia
Iran,81800269,IRN,Asia
Iraq,38433600,IRQ,Asia
Ireland,4853506,IRL,Europe
Isle_of_Man,84077,IMN,Europe
Israel,8883800,ISR,Asia
Italy,60431283,ITA,Europe
