countriesAndTerritories,ID,﻿dateRep
Afghanistan,1,14/06/2020
Afghanistan,2,13/06/2020
Afghanistan,3,12/06/2020
Afghanistan,4,11/06/2020
Afghanistan,5,10/06/2020
Afghanistan,6,09/06/2020
Afghanistan,7,08/06/2020
Afghanistan,8,07/06/2020
Afghanistan,9,06/06/2020
Afghanistan,10,05/06/2020
Afghanistan,11,04/06/2020
Afghanistan,12,03/06/2020
Afghanistan,13,02/06/2020
Afghanistan,14,01/06/2020
Afghanistan,15,31/05/2020
Afghanistan,16,30/05/2020
Afghanistan,17,29/05/2020
Afghanistan,18,28/05/2020
Afghanistan,19,27/05/2020
Afghanistan,20,26/05/2020
Afghanistan,21,25/05/2020
Afghanistan,22,24/05/2020
Afghanistan,23,23/05/2020
Afghanistan,24,22/05/2020
Afghanistan,25,21/05/2020
Afghanistan,26,20/05/2020
Afghanistan,27,19/05/2020
Afghanistan,28,18/05/2020
Afghanistan,29,17/05/2020
Afghanistan,30,16/05/2020
Afghanistan,31,15/05/2020
Afghanistan,32,14/05/2020
Afghanistan,33,13/05/2020
Afghanistan,34,12/05/2020
Afghanistan,35,11/05/2020
Afghanistan,36,10/05/2020
Afghanistan,37,09/05/2020
Afghanistan,38,08/05/2020
Afghanistan,39,07/05/2020
Afghanistan,40,06/05/2020
Afghanistan,41,05/05/2020
Afghanistan,42,04/05/2020
Afghanistan,43,03/05/2020
Afghanistan,44,02/05/2020
Afghanistan,45,01/05/2020
Afghanistan,46,30/04/2020
Afghanistan,47,29/04/2020
Afghanistan,48,28/04/2020
Afghanistan,49,27/04/2020
Afghanistan,50,26/04/2020
Afghanistan,51,25/04/2020
Afghanistan,52,24/04/2020
Afghanistan,53,23/04/2020
Afghanistan,54,22/04/2020
Afghanistan,55,21/04/2020
Afghanistan,56,20/04/2020
Afghanistan,57,19/04/2020
Afghanistan,58,18/04/2020
Afghanistan,59,17/04/2020
Afghanistan,60,16/04/2020
Afghanistan,61,15/04/2020
Afghanistan,62,14/04/2020
Afghanistan,63,13/04/2020
Afghanistan,64,12/04/2020
Afghanistan,65,11/04/2020
Afghanistan,66,10/04/2020
Afghanistan,67,09/04/2020
Afghanistan,68,08/04/2020
Afghanistan,69,07/04/2020
Afghanistan,70,06/04/2020
Afghanistan,71,05/04/2020
Afghanistan,72,04/04/2020
Afghanistan,73,03/04/2020
Afghanistan,74,02/04/2020
Afghanistan,75,01/04/2020
Afghanistan,76,31/03/2020
Afghanistan,77,30/03/2020
Afghanistan,78,29/03/2020
Afghanistan,79,28/03/2020
